IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.110.108,443,443,true,FRA,Europe,Frankfurt,269,5.30
34.32.219.240,443,443,true,FRA,Europe,Frankfurt,258,5.29
34.159.167.25,443,443,true,FRA,Europe,Frankfurt,360,5.29
34.90.196.125,443,443,true,FRA,Europe,Frankfurt,260,5.29
34.154.77.139,443,443,true,FRA,Europe,Frankfurt,261,5.29
34.116.181.8,443,443,true,FRA,Europe,Frankfurt,326,5.29
34.141.194.63,443,443,true,FRA,Europe,Frankfurt,193,5.28
34.90.153.175,443,443,true,FRA,Europe,Frankfurt,192,5.27
34.107.79.216,443,443,true,AMS,Europe,Amsterdam,263,5.27
34.154.18.91,443,443,true,FRA,Europe,Frankfurt,249,5.26
34.154.60.225,443,443,true,FRA,Europe,Frankfurt,250,5.26
34.116.218.201,443,443,true,FRA,Europe,Frankfurt,272,5.26
34.32.207.31,443,443,true,FRA,Europe,Frankfurt,266,5.25
34.107.84.248,443,443,true,FRA,Europe,Frankfurt,260,5.25
34.118.100.60,443,443,true,FRA,Europe,Frankfurt,335,5.24
34.118.70.12,443,443,true,FRA,Europe,Frankfurt,273,5.24
34.116.233.124,443,443,true,FRA,Europe,Frankfurt,365,5.24
34.107.97.135,443,443,true,FRA,Europe,Frankfurt,318,5.24
34.90.145.240,443,443,true,FRA,Europe,Frankfurt,272,5.23
34.118.6.179,443,443,true,FRA,Europe,Frankfurt,246,5.22
34.159.58.138,443,443,true,FRA,Europe,Frankfurt,285,5.22
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,301,5.22
34.89.250.77,443,443,true,FRA,Europe,Frankfurt,272,5.22
34.116.139.71,443,443,true,FRA,Europe,Frankfurt,205,5.22
34.89.220.83,443,443,true,FRA,Europe,Frankfurt,277,5.22
35.246.165.122,443,443,true,FRA,Europe,Frankfurt,272,5.21
34.118.23.155,443,443,true,FRA,Europe,Frankfurt,241,5.21
34.154.159.54,443,443,true,FRA,Europe,Frankfurt,256,5.20
34.107.1.24,443,443,true,FRA,Europe,Frankfurt,264,5.20
34.118.45.84,443,443,true,FRA,Europe,Frankfurt,202,5.20
34.89.158.25,443,443,true,FRA,Europe,Frankfurt,253,5.19
34.65.183.231,443,443,true,FRA,Europe,Frankfurt,257,5.19
34.32.144.137,443,443,true,FRA,Europe,Frankfurt,265,5.19
34.118.105.161,443,443,true,FRA,Europe,Frankfurt,341,5.18
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,254,5.18
34.116.161.110,443,443,true,FRA,Europe,Frankfurt,382,5.18
34.34.62.39,443,443,true,FRA,Europe,Frankfurt,192,5.18
34.65.216.72,443,443,true,FRA,Europe,Frankfurt,251,5.18
34.65.202.116,443,443,true,FRA,Europe,Frankfurt,186,5.17
34.118.80.138,443,443,true,FRA,Europe,Frankfurt,226,5.17
34.65.173.34,443,443,true,FRA,Europe,Frankfurt,253,5.15
34.154.4.128,443,443,true,FRA,Europe,Frankfurt,251,5.14
34.65.202.116,443,443,true,FRA,Europe,Frankfurt,186,5.14
34.107.122.127,443,443,true,FRA,Europe,Frankfurt,320,5.12
34.118.37.232,443,443,true,FRA,Europe,Frankfurt,274,5.12
34.89.211.255,443,443,true,FRA,Europe,Frankfurt,262,5.11
34.159.30.150,443,443,true,FRA,Europe,Frankfurt,264,5.11
34.91.246.61,443,443,true,FRA,Europe,Frankfurt,192,5.11
34.34.51.2,443,443,true,FRA,Europe,Frankfurt,269,5.10
34.65.6.206,443,443,true,FRA,Europe,Frankfurt,264,5.10
34.154.135.246,443,443,true,FRA,Europe,Frankfurt,251,5.09
34.141.208.110,443,443,true,FRA,Europe,Frankfurt,259,5.08
34.116.205.246,443,443,true,FRA,Europe,Frankfurt,271,5.07
34.90.125.203,443,443,true,FRA,Europe,Frankfurt,256,5.06
34.65.248.227,443,443,true,FRA,Europe,Frankfurt,197,5.06
34.34.24.99,443,443,true,FRA,Europe,Frankfurt,261,5.05
35.198.135.212,443,443,true,FRA,Europe,Frankfurt,258,5.05
34.154.197.206,443,443,true,FRA,Europe,Frankfurt,256,5.04
34.116.189.111,443,443,true,FRA,Europe,Frankfurt,269,5.04
34.90.85.192,443,443,true,FRA,Europe,Frankfurt,259,5.04
34.116.193.101,443,443,true,FRA,Europe,Frankfurt,325,5.04
34.154.9.19,443,443,true,FRA,Europe,Frankfurt,261,5.03
34.118.65.155,443,443,true,FRA,Europe,Frankfurt,338,5.02
34.65.11.196,443,443,true,FRA,Europe,Frankfurt,267,5.02
34.65.222.99,443,443,true,FRA,Europe,Frankfurt,263,5.02
34.90.66.199,443,443,true,FRA,Europe,Frankfurt,258,5.02
34.32.183.111,443,443,true,FRA,Europe,Frankfurt,259,5.01
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,197,5.00
34.65.60.228,443,443,true,FRA,Europe,Frankfurt,255,5.00
34.118.25.79,443,443,true,FRA,Europe,Frankfurt,327,5.00
34.154.191.199,443,443,true,FRA,Europe,Frankfurt,253,4.99
35.246.217.201,443,443,true,FRA,Europe,Frankfurt,184,4.98
34.154.250.73,443,443,true,FRA,Europe,Frankfurt,252,4.97
34.90.221.172,443,443,true,FRA,Europe,Frankfurt,259,4.96
34.118.45.84,443,443,true,FRA,Europe,Frankfurt,304,4.96
34.32.183.111,443,443,true,FRA,Europe,Frankfurt,269,4.95
34.116.196.194,443,443,true,FRA,Europe,Frankfurt,329,4.93
34.116.239.30,443,443,true,FRA,Europe,Frankfurt,302,4.93
34.118.4.22,443,443,true,FRA,Europe,Frankfurt,290,4.92
34.90.85.192,443,443,true,FRA,Europe,Frankfurt,258,4.92
34.90.108.106,443,443,true,FRA,Europe,Frankfurt,258,4.90
34.34.61.78,443,443,true,FRA,Europe,Frankfurt,192,4.90
34.90.50.10,443,443,true,FRA,Europe,Frankfurt,266,4.90
